uidx,part_idx,x,y,score
0-0,0,0.4675925925925926,0.75,0.7091716527938843
0-1,1,0.4722222222222222,0.7880434782608695,0.5717994570732117
0-2,2,0.4398148148148148,0.7880434782608695,0.5717725157737732
0-3,3,0.42592592592592593,0.8369565217391305,0.16599056124687195
0-5,5,0.5092592592592593,0.782608695652174,0.6667996048927307
0-6,6,0.5046296296296297,0.8315217391304348,0.19854050874710083
0-7,7,0.47685185185185186,0.7989130434782609,0.12308019399642944
0-8,8,0.4444444444444444,0.9021739130434783,0.13532160222530365
0-11,11,0.4861111111111111,0.907608695652174,0.12425775080919266
0-14,14,0.46296296296296297,0.7445652173913043,0.6109263300895691
0-15,15,0.47685185185185186,0.7391304347826086,0.6522228121757507
0-16,16,0.44907407407407407,0.7391304347826086,0.34265002608299255
0-17,17,0.4861111111111111,0.7391304347826086,0.654929518699646
1-0,0,0.6712962962962963,0.3967391304347826,0.7695766687393188
1-1,1,0.7870370370370371,0.7228260869565217,0.3195178806781769
1-2,2,0.5925925925925926,0.7663043478260869,0.4950353801250458
1-3,3,0.5324074074074074,0.9347826086956522,0.12450523674488068
1-5,5,0.9722222222222222,0.7282608695652174,0.12376488745212555
1-14,14,0.6296296296296297,0.3532608695652174,0.8209497928619385
1-15,15,0.7129629629629629,0.30434782608695654,0.7521989345550537
1-17,17,0.8101851851851852,0.33695652173913043,0.7575010061264038
2-0,0,0.2175925925925926,0.45652173913043476,0.7677637934684753
2-1,1,0.20833333333333334,0.6467391304347826,0.5208936333656311
2-2,2,0.10648148148148148,0.6086956521739131,0.40393105149269104
2-5,5,0.3148148148148148,0.6902173913043478,0.5173683166503906
2-14,14,0.19907407407407407,0.42934782608695654,0.7914556264877319
2-15,15,0.25,0.42934782608695654,0.7782168984413147
2-16,16,0.16203703703703703,0.45108695652173914,0.5298368334770203
2-17,17,0.28703703703703703,0.46195652173913043,0.8087278604507446
